CAMS 1605 Ozone Summary Report for 2018
St. Edwards University C1605 - EPA Site: 48_453_1605
Ozone (POC 1) measured in parts per billion
Data from this instrument does not meet EPA quality assurance criteria and cannot be used for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
06/05/2018,14,8,7,7,6,7,8,11,14,20,28,33,33,35,37,38,39,38,36,21,30,24,20,16
06/06/2018,14,13,12,11,10,10,8,13,17,22,28,29,31,33,36,41,41,42,37,34,29,25,20,17
06/07/2018,15,14,15,15,12,8,9,14,19,23,26,28,29,32,34,39,41,39,34,29,25,23,19,16
06/08/2018,13,12,13,12,8,7,7,10,15,20,25,26,28,33,36,36,36,34,32,27,25,22,18,15
06/09/2018,13,12,11,9,8,6,6,10,16,20,25,27,28,30,33,31,30,29,28,25,20,15,14,12
06/10/2018,11,10,11,12,12,10,11,15,17,19,21,23,25,26,28,29,28,27,25,22,19,17,16,15
06/11/2018,15,15,16,16,15,14,12,16,19,22,24,26,28,29,29,28,28,28,25,23,21,19,19,18
06/12/2018,19,19,20,19,17,13,14,16,18,22,25,28,29,30,29,30,30,29,28,26,24,21,19,16
06/13/2018,14,12,12,11,9,7,10,13,17,21,24,27,29,30,31,32,32,33,30,25,24,24,18,15
06/14/2018,14,13,11,11,10,6,10,14,21,27,27,29,30,33,34,33,29,31,30,27,23,19,17,14
06/15/2018,11,11,9,8,6,4,7,11,18,21,24,26,29,29,30,30,30,29,27,23,20,18,16,14
06/16/2018,13,13,13,13,12,10,10,13,19,23,26,28,28,28,27,25,28,28,27,25,22,20,17,15
06/17/2018,14,12,11,11,12,11,10,16,19,23,24,26,28,28,28,27,26,28,27,22,20,20,19,17
06/18/2018,16,16,15,13,12,11,6,10,15,20,22,26,28,31,30,31,30,26,20,18,15,14,13,15
06/19/2018,14,13,12,11,9,8,8,9,10,9,13,17,17,17,17,17,18,15,13,14,11,9,9,8
06/20/2018,9,8,8,8,7,5,5,6,12,12,14,16,19,18,21,23,22,20,17,17,13,11,10,6
06/21/2018,6,6,5,7,6,9,9,11,15,17,24,29,29,28,30,31,30,29,28,23,21,17,14,10
06/22/2018,11,8,9,5,4,8,9,11,17,25,35,40,44,52,51,48,43,40,36,33,28,20,15,13
06/23/2018,11,10,9,8,6,5,6,11,15,20,24,27,29,29,31,31,29,28,27,24,21,19,18,18
06/24/2018,18,19,18,18,17,15,16,23,27,28,29,29,30,31,30,28,25,22,20,16,17,21,21,21
06/25/2018,20,22,22,21,19,18,14,18,22,27,31,34,34,29,25,25,25,24,21,21,18,15,14,13
06/26/2018,13,13,12,10,8,7,8,11,14,18,20,24,26,28,30,30,30,29,26,23,19,17,14,12
06/27/2018,12,12,11,11,9,6,7,11,15,18,22,25,26,27,30,30,32,32,32,28,27,22,15,12
06/28/2018,10,10,10,9,7,5,7,11,13,17,22,24,24,27,28,28,28,29,29,21,16,14,11,10
06/29/2018,9,11,12,14,14,13,13,17,19,21,24,26,27,27,27,27,26,26,22,19,17,15,14,14
06/30/2018,14,13,11,11,10,7,8,12,15,17,20,22,23,25,26,25,24,24,22,20,17,15,14,14
07/01/2018,14,14,14,15,14,15,14,16,18,21,24,26,27,25,25,27,26,27,26,26,23,19,16,13
07/02/2018,12,12,15,14,12,7,7,12,15,18,21,22,25,27,28,28,29,28,28,28,25,25,20,14
07/03/2018,13,13,12,13,11,7,5,10,13,17,24,33,34,30,31,32,32,32,33,30,28,26,26,21
07/04/2018,14,12,11,9,7,6,6,9,13,16,25,31,38,37,29,19,18,17,12,11,11,14,12,8
07/05/2018,6,6,6,5,4,4,9,10,13,16,19,29,28,33,34,33,35,38,36,33,24,27,23,15
07/06/2018,14,13,13,11,12,9,7,11,22,43,51,54,49,44,40,40,39,43,43,38,31,32,30,28
07/07/2018,21,14,21,13,11,7,6,11,19,26,28,32,42,36,38,43,34,29,30,27,25,23,19,21
07/08/2018,17,13,15,13,11,5,13,19,28,33,37,39,39,40,43,44,46,37,35,32,29,25,22,21
07/09/2018,15,13,11,7,8,7,7,4,5,7,11,16,15,16,17,18,23,22,19,15,12,8,9,9
07/10/2018,10,9,7,4,1,1,3,5,11,13,20,25,24,24,24,26,28,32,33,28,23,18,16,12
07/11/2018,9,7,4,6,5,3,4,7,11,17,21,26,28,28,31,32,33,34,33,30,25,21,19,18
